### DATA:
#
# 2243
#      Q             I(Q)           Error     
1.16643819E-02  7.10334182E-01  2.70028543E-02
1.19839541E-02  7.03686595E-01  2.64461618E-02
1.23035262E-02  6.46040082E-01  2.53397767E-02
1.26230983E-02  5.69389999E-01  2.18030717E-02
1.29426704E-02  5.23292720E-01  2.16354895E-02
1.32622425E-02  5.48858345E-01  2.05982868E-02
1.35818146E-02  4.38313752E-01  1.84074473E-02
1.39013867E-02  4.28009927E-01  1.84186138E-02
1.42209588E-02  4.11089510E-01  1.67269949E-02
1.45405309E-02  3.53819788E-01  1.63378809E-02
1.48601030E-02  3.50772947E-01  1.46028688E-02
1.51796751E-02  3.49550515E-01  1.55087961E-02
1.54992472E-02  3.31423908E-01  1.44921290E-02
1.58188193E-02  2.84407049E-01  1.29142310E-02
1.61383915E-02  2.85252422E-01  1.34320110E-02
1.64579636E-02  2.88365006E-01  1.25852805E-02
1.67775357E-02  2.75401413E-01  1.23906704E-02
1.70971078E-02  2.42707968E-01  1.16234822E-02
1.74166799E-02  2.31237158E-01  1.07116355E-02
1.77362520E-02  2.39081100E-01  1.11471089E-02
1.80558241E-02  2.42818177E-01  1.07945008E-02
1.83753962E-02  2.31836364E-01  1.10141924E-02
1.86949683E-02  1.97265640E-01  9.72862262E-03
1.90145404E-02  2.00100750E-01  9.63603519E-03
1.93341125E-02  1.70224339E-01  9.01781861E-03
1.96536846E-02  1.73981711E-01  8.64317734E-03
1.99732568E-02  1.83211610E-01  9.27653722E-03
2.02928289E-02  1.80892542E-01  8.21254402E-03
2.06124010E-02  1.61173090E-01  7.85976462E-03
2.09319731E-02  1.63086429E-01  7.71827670E-03
2.12515452E-02  1.53893828E-01  7.05590844E-03
2.15711173E-02  1.49513453E-01  7.07905274E-03
2.18906894E-02  1.45736367E-01  6.52134372E-03
2.22102615E-02  1.34748876E-01  6.62603322E-03
2.25298336E-02  1.25233635E-01  6.10802323E-03
2.28494057E-02  1.33860886E-01  6.29099132E-03
2.31689778E-02  1.30608574E-01  6.08687103E-03
2.34885499E-02  1.18416622E-01  5.70755731E-03
2.38081220E-02  1.13920696E-01  5.70379198E-03
2.41276942E-02  1.12865113E-01  5.65729896E-03
