Lag_time_ns,Correlation,Confidence_interval_low_bound,Confidence_interval_high_bound
0.0,1.0,0.0,0.0
0.01,0.9495686519392392,-0.011260256345400177,0.011260256345400177
0.02,0.9355007295375614,-0.01885331876513896,0.01885331876513896
0.03,0.9247698823187901,-0.02402867067817749,0.02402867067817749
0.04,0.9156365163360376,-0.028182338992795097,0.028182338992795097
0.05,0.9075793081820761,-0.0317308821396558,0.0317308821396558
0.06,0.9005604241720031,-0.03486729606467265,0.03486729606467265
0.07,0.8935692867844758,-0.03770131944328414,0.03770131944328414
0.08,0.8875575003938776,-0.04029726914149545,0.04029726914149545
0.09,0.8818228664787419,-0.04270403925066868,0.04270403925066868
0.1,0.8770783864386694,-0.04495360892529743,0.04495360892529743
0.11,0.8721634104393297,-0.047073376157549585,0.047073376157549585
0.12,0.8670767499732964,-0.04907951021544521,0.04907951021544521
0.13,0.8627892650110022,-0.050984805975852865,0.050984805975852865
0.14,0.8575930786706217,-0.05280361504750786,0.05280361504750786
0.15,0.8535029371136588,-0.054541050260446866,0.054541050260446866
0.16,0.8500334296079085,-0.056209036697134396,0.056209036697134396
0.17,0.8454022568996722,-0.0578159722054008,0.0578159722054008
0.18,0.8414038573099084,-0.05936266799269485,0.05936266799269485
0.19,0.8373328226828102,-0.060856024666833486,0.060856024666833486
0.2,0.8332924487557919,-0.06229969553681158,0.06229969553681158
0.21,0.8296701019051173,-0.06369722671869604,0.06369722671869604
0.22,0.8273055105377526,-0.06505300728328722,0.06505300728328722
0.23,0.8235829383711918,-0.06637361863621849,0.06637361863621849
0.24,0.8208855006750142,-0.06765694579829917,0.06765694579829917
0.25,0.8181070786969301,-0.0689082179829178,0.0689082179829178
0.26,0.8144230753946881,-0.07012893774888707,0.07012893774888707
0.27,0.8113973584534033,-0.07131807751755159,0.07131807751755159
0.28,0.8085409816623729,-0.07247910726218842,0.07247910726218842
0.29,0.8053613236112334,-0.07361386019800875,0.07361386019800875
0.3,0.8027768164637645,-0.07472267739223448,0.07472267739223448
0.31,0.799760569392333,-0.07580832837857288,0.07580832837857288
0.32,0.7969319614364606,-0.07687067735618769,0.07687067735618769
0.33,0.7944757238103439,-0.07791119379976641,0.07791119379976641
0.34,0.7916989140222802,-0.07893171708767388,0.07893171708767388
0.35000000000000003,0.7874295177279638,-0.07993222680093526,0.07993222680093526
0.36,0.7849518237129665,-0.08090980248068036,0.08090980248068036
0.37,0.7815507313610895,-0.08186967356767927,0.08186967356767927
0.38,0.778295911000905,-0.08281026324190155,0.08281026324190155
0.39,0.7744641194901952,-0.08373260106536828,0.08373260106536828
0.4,0.7718502921946763,-0.08463597615887386,0.08463597615887386
0.41000000000000003,0.7693487500516208,-0.08552381827858957,0.08552381827858957
0.42,0.7670486580632447,-0.08639687988403244,0.08639687988403244
0.43,0.7644221337613994,-0.08725607185496576,0.08725607185496576
0.44,0.7618141318295681,-0.08810109680713274,0.08810109680713274
0.45,0.7594040691518763,-0.08893241848795919,0.08893241848795919
0.46,0.7574374586444558,-0.08975086155560119,0.08975086155560119
0.47000000000000003,0.7545941734022407,-0.090557731769917,0.090557731769917
0.48,0.7523550139068987,-0.09135150908678269,0.09135150908678269
0.49,0.7498597439006962,-0.09213380467506005,0.09213380467506005
0.5,0.7476623881281419,-0.09290439797363492,0.09290439797363492
0.51,0.7451770664658313,-0.09366419760000755,0.09366419760000755
0.52,0.7420278695372592,-0.0944129006397374,0.0944129006397374
0.53,0.7400233851342267,-0.09514947203495927,0.09514947203495927
0.54,0.7368901667658688,-0.09587645648112686,0.09587645648112686
0.55,0.7349817691041406,-0.09659189570256677,0.09659189570256677
0.56,0.7329129014124814,-0.09729841426941133,0.09729841426941133
0.5700000000000001,0.7312936063249387,-0.09799591017377873,0.09799591017377873
0.58,0.7288171901241193,-0.0986854302950535,0.0986854302950535
0.59,0.7266375758230631,-0.09936555220315502,0.09936555220315502
0.6,0.7243103432378591,-0.10003702972354078,0.10003702972354078
0.61,0.7215117115456735,-0.10069977846310885,0.10069977846310885
0.62,0.7187880937228925,-0.10135313194539097,0.10135313194539097
0.63,0.7171043991832688,-0.1019974242372057,0.1019974242372057
0.64,0.7158620089320334,-0.10263468553315314,0.10263468553315314
0.65,0.713323819787228,-0.10326582850383592,0.10326582850383592
0.66,0.7112546159215526,-0.10388871017396695,0.10388871017396695
0.67,0.7097796989325272,-0.10450430305987335,0.10450430305987335
0.68,0.7077132720768257,-0.10511376275278006,0.10511376275278006
0.6900000000000001,0.7062180088205184,-0.10571619596627091,0.10571619596627091
0.7000000000000001,0.7041027307902344,-0.10631269409689992,0.10631269409689992
0.71,0.7022872344936201,-0.10690232578166903,0.10690232578166903
0.72,0.6997181815739788,-0.10748571117573058,0.10748571117573058
0.73,0.6979823743957807,-0.10806172116440238,0.10806172116440238
0.74,0.6967168898072243,-0.10863184532385561,0.10863184532385561
