pheno,temp,ph,pknum,ord,show,remarks
PPE+,50,hii,2,2,TRUE,
PPE+,30,la,1,1,TRUE,
PPE+,40,hii,3,2,TRUE,
PPE+,10,lb,6,4,TRUE,
PPE+,20,lb,6,4,TRUE,
PPE-,80,hii,6,2,TRUE,
PPE-,70,hii,1,1,FALSE,
PPE-,30,lb,1,1,TRUE,
PPE-,60,la,1,1,TRUE,
PE,30,lb,1,1,TRUE,
PE,30,la,2,1,TRUE,
PE,80,hii,4,3,TRUE,
PE,60,la,5,2,TRUE,
PE,10,lb,5,4,TRUE,
PC,13,lb,1,1,TRUE,
PC,20,lb,1,1,TRUE,
PC,30,la,2,2,TRUE,
PC,40,la,2,2,TRUE,
PC,50,la,5,2,TRUE,
PC,60,la,3,2,TRUE,
PC,80,la,5,2,TRUE,
