Lag_time_ns,Correlation,Confidence_interval_low_bound,Confidence_interval_high_bound
0.0,1.0,0.0,0.0
0.01,0.9307476934219221,-0.011097178124889084,0.011097178124889084
0.02,0.9101058204066851,-0.018344217941140273,0.018344217941140273
0.03,0.8939757098805158,-0.023248966230879353,0.023248966230879353
0.04,0.8823064886057459,-0.027154214125186482,0.027154214125186482
0.05,0.8710152384254981,-0.030480864546801212,0.030480864546801212
0.06,0.8610761886997483,-0.03340567194015587,0.03340567194015587
0.07,0.8519632776737879,-0.03603546425266779,0.03603546425266779
0.08,0.8416850171578607,-0.038435993524313816,0.038435993524313816
0.09,0.8330818431833037,-0.040642454077423174,0.040642454077423174
0.1,0.825067495382719,-0.04269360441285408,0.04269360441285408
0.11,0.8166703557633394,-0.044613962333120316,0.044613962333120316
0.12,0.8105107343985924,-0.04641844479767354,0.04641844479767354
0.13,0.8012979300156716,-0.04812971880514061,0.04812971880514061
0.14,0.7958130477681513,-0.049745455553953155,0.049745455553953155
0.15,0.7889141948930998,-0.051289310104065566,0.051289310104065566
0.16,0.7833807276278033,-0.052762521003479335,0.052762521003479335
0.17,0.7763153142301169,-0.05417592722332254,0.05417592722332254
0.18,0.770708668908692,-0.055528951149800165,0.055528951149800165
0.19,0.7663044364180206,-0.056830990449961316,0.056830990449961316
0.2,0.7604182146617611,-0.05808951090205494,0.05808951090205494
0.21,0.7557783314227713,-0.05930267885236318,0.05930267885236318
0.22,0.7505357491739396,-0.060477198050809755,0.060477198050809755
0.23,0.7458987894300744,-0.061613555859814984,0.061613555859814984
0.24,0.7411443706343408,-0.06271570800991855,0.06271570800991855
0.25,0.735458081841314,-0.06378517450462395,0.06378517450462395
0.26,0.7307199058888517,-0.06482105333855837,0.06482105333855837
0.27,0.7269300016977978,-0.06582764171316136,0.06582764171316136
0.28,0.7239135178659404,-0.0668088860256606,0.0668088860256606
0.29,0.7182472310090621,-0.06776797322405115,0.06776797322405115
0.3,0.7151196272367734,-0.0686990283196417,0.0686990283196417
0.31,0.7093871419874854,-0.06960970226264818,0.06960970226264818
0.32,0.7044637823975585,-0.07049435135002446,0.07049435135002446
0.33,0.702066357407208,-0.07135602331505131,0.07135602331505131
