class	mw	pn
PC	753.11	330731
PPC	781.19	852475
LPC	528.72	330731
PE	711.03	330731
PPE	739.11	852474
LPE	486.64	330731
PG	764.02	330731
PI	847.13	330731
PS	777.02	330731
TG	812.37	330731
DG	587.98	330731
MG	363.59	330731
CE	658.16	330731
SM	738.12	330731
Cer	530.92	330731
